cluster
100
87
100
99
100
74
100
100
90
13
4
24
91
33
4
73
4
73
4
4
91
91
25
92
98
33
87
80
4
98
90
25
82
90
100
100
70
100
69
4
15
97
80
100
21
52
92
56
4
90
5
82
4
80
4
99
5
4
14
100
100
100
99
14
4
82
90
46
52
33
90
82
59
56
46
25
90
100
4
14
41
73
4
33
100
99
4
91
69
73
80
100
90
80
14
80
73
99
60
4
73
4
98
100
4
90
90
7
70
56
100
90
5
5
4
25
87
54
80
73
33
17
55
100
35
4
25
99
33
100
90
56
90
98
90
99
100
99
92
43
82
80
4
35
82
100
98
100
99
4
74
5
70
43
4
89
100
90
83
6
4
92
98
7
14
100
33
7
6
4
90
83
4
5
5
43
99
24
25
4
90
74
32
99
4
100
4
100
100
99
4
80
69
90
50
50
78
100
74
64
7
4
99
99
90
5
4
4
17
49
98
82
5
14
4
89
74
5
4
21
50
99
4
4
100
99
80
5
6
14
25
88
90
99
15
99
100
4
55
90
100
4
69
99
69
55
4
4
100
4
99
78
79
88
89
90
5
14
5
90
31
56
6
27
64
15
83
9
7
25
80
4
4
89
14
4
4
43
6
4
70
100
78
80
14
4
25
25
21
74
74
80
100
89
4
4
4
98
21
70
4
80
90
78
80
16
24
73
16
7
2
69
14
4
4
4
89
14
6
7
4
88
1
4
4
14
21
7
56
79
80
21
78
35
4
80
2
100
35
90
89
7
14
44
7
89
8
4
14
100
78
100
5
4
25
46
4
100
31
43
6
83
78
21
21
80
90
25
4
4
100
8
42
17
8
78
74
43
4
4
4
4
70
1
92
90
100
6
21
2
100
100
8
89
4
99
2
35
15
78
65
4
6
79
64
16
4
89
1
100
80
78
100
5
89
4
4
4
3
100
60
97
21
4
6
16
80
89
78
45
4
14
78
5
4
4
78
89
88
74
54
4
7
98
9
4
42
4
8
8
89
80
79
100
16
4
8
100
100
54
25
74
70
83
83
6
10
14
4
83
78
4
4
89
83
98
6
4
3
5
7
35
74
24
4
6
4
31
90
6
83
4
10
21
56
82
6
8
89
4
99
14
99
69
70
88
74
8
100
89
6
14
83
4
5
4
4
5
78
31
14
12
4
6
7
5
4
42
6
7
4
89
54
64
83
100
74
4
16
5
5
91
4
90
64
89
6
18
3
32
55
74
88
74
5
5
92
99
100
6
65
33
9
7
4
4
12
100
31
82
91
4
5
74
56
17
4
55
4
6
100
7
83
100
5
7
15
82
99
5
4
82
100
74
74
93
78
92
9
4
24
92
92
6
4
83
79
8
6
99
74
98
88
35
6
6
4
91
17
100
5
4
94
87
100
92
4
4
4
5
64
4
8
4
91
16
20
4
7
14
74
99
89
89
2
84
50
4
1
89
6
93
90
9
4
78
1
2
99
16
4
83
4
6
7
21
100
35
4
4
11
5
4
10
4
4
84
99
4
8
4
83
15
78
89
82
70
